Airline,Aircraft,In service,Orders
Aero Contractors,Boeing 737-300,2,0
Air Peace,Boeing 737-300,7,0
Air Peace,Boeing 737-500,3,0
Air Peace,Boeing 737-700,1,0
Air Peace,Boeing 737-800,4,0
Air Peace,Boeing 777-200ER,1,0
Air Peace,Boeing 777-300,2,0
Air Peace,Embraer E145,8,0
Air Peace,Embraer E195-E2,5,0
Allied Air,Boeing 737-400F,3,0
Allied Air,Boeing 737-800F,1,0
Arik Air,Airbus A330-200,4,0
Arik Air,Airbus A340-500,2,0
Arik Air,Bombardier CRJ200ER,3,0
Arik Air,De Havilland Canada DHC-8-300,3,0
Azman Air,Airbus A340-600,1,0
Azman Air,Boeing 737-300,2,0
Azman Air,Boeing 737-500,3,0
Dana Air,Boeing 737-300,2,0
Dana Air,McDonnell Douglas MD-82,1,0
Dana Air,McDonnell Douglas MD-83,5,0
Dornier Aviation,Dornier 328-100,5,0
Green Africa Airways,ATR 72-600,3,10
Ibom Air,Airbus A220-300,2,8
Ibom Air,Bombardier CRJ900,7,0
Kabo Air,Boeing 747-200,1,0
Kabo Air,Boeing 747-400,1,0
Max Air,Boeing 737-300,5,0
Max Air,Boeing 737-400,1,0
Max Air,Boeing 747-400,2,0
Max Air,Boeing 777-200,1,0
Overland Airways,ATR 42,1,0
Overland Airways,ATR 72,1,0
Overland Airways,Beechcraft 1900D,1,0
Overland Airways,Embraer E175,2,1
United Nigeria Airlines,Embraer ERJ-145LR,4,0
United Nigeria Airlines,Embraer ERJ-190,1,0
United Nigeria Airlines,Airbus A320-200,1,0
Value Jet,Bombardier CRJ900,3,0
