Airline Name,City ,Airport
Aero,Lagos ,Murtala Mohammed International Airport
Air Peace,Lagos ,Murtala Mohammed International Airport
Allied Air,Lagos ,Murtala Mohammed International Airport
Arik Air,Lagos ,Murtala Mohammed International Airport
Arik Air,Abuja ,Nnamdi Azikiwe International Airport
Azman Air,Kano ,Mallam Aminu Kano Airport
Dana Air,Lagos ,Murtala Mohammed International Airport
Green Africa Airways,Lagos ,Murtala Mohammed International Airport
Ibom Air,Lagos ,Murtala Mohammed International Airport
Ibom Air,Abuja ,Nnamdi Azikiwe International Airport
Ibom Air,Uyo,Victor Attah International Airport
Rano Air,Kano,Maiduiguri International Airport
Max Air,Kano ,Mallam Aminu Kano Airport
Overland Airways,Abuja ,Nnamdi Azikiwe International Airport
United Nigeria Airlines,Enugu,Akanu Ibiam International Airport
Value Jet ,Lagos ,Murtala Mohammed International Airport
