City Served,State,ICAO,IATA,Airport Name
Abuja,Federal Capital Territory,DNAA,ABV,Nnamdi Azikiwe International Airport 
Anambra,Anambra,DNAN,ANA,Anambra International Cargo Airport
Calabar,Cross River,DNCA,CBQ,Margaret Ekpo International Airport 
Ebonyi,Ebonyi,DNEB,,Ebonyi State International Airport
Enugu,Enugu,DNEN,ENU,Akanu Ibiam International Airport 
Ilorin,Kwara,DNIL,ILR,Ilorin International Airport 
Kaduna,Kaduna,DNKA,KAD,Kaduna International Airport 
Kano,Kano,DNKN,KAN,Mallam Aminu Kano International Airport 
Lagos,Lagos,DNMM,LOS,Murtala Muhammed International Airport 
Port Harcourt,Rivers,DNPO,PHC,Port Harcourt International Airport 
Sokoto,Sokoto,DNSO,SKO,Sadiq Abubakar III International Airport 
Asaba,Delta,DNAS,ABB,Asaba International Airport 
Bauchi,Bauchi,DNBC,BCU,Sir Abubakar Tafawa Balewa Airport (Bauchi State Airport)
Benin,Edo,DNBE,BNI,Benin Airport 
Calabar,Cross River,DNCA,CBQ,Margaret Ekpo International Airport 
Ibadan,Oyo,DNIB,IBA,Ibadan Airport 
Jos,Plateau,DNJO,JOS,Yakubu Gowon Airport 
Maiduguri,Borno,DNMA,MIU,Maiduguri International Airport 
Owerri,Imo,DNIM,QOW,Sam Mbakwe International Cargo Airport (SMICA) 
Uyo,Akwa Ibom,DNAI,QUO,Akwa Ibom Airport - Victor Attah International Airport (Victor Attah Int'l) 
Yola,Adamawa,DNYO,YOL,Yola Airport
Lafia,Nassarawa,-,-,Lafia Cargo Airport
Akure,Ondo,DNAK,AKR,Akure Airport 
Gombe,Gombe,DNGO,GMO,Gombe Lawanti International Airport (Sani Abacha Int'l.)
Birnin Kebbi,Kebbi,DNBK,,Kebbi International Airport (Sir Ahmadu Bello Int'l.)
Dutse,Jigawa,DNDS[6],,Dutse International Airport
Jalingo,Taraba,DNJA,,Jalingo Airport (Danbaba Danfulani Suntai Airport)
Katsina,Katsina,DNKT,DKA,Katsina Airport 
Makurdi,Benue,DNMK,MDI,Makurdi Airport 
Minna,Niger,DNMN,MXJ,Minna Airport 
Warri,Delta,DNSU,QRW,Warri Airport (Osubi Airstrip) 
Yenagoa,Bayelsa,,,Bayelsa International Airport
Zaria,Kaduna,DNZA,ZAR,Zaria Airport 
Damaturu,Yobe,,,Damaturu Cargo Airport
Bajoga,Gombe,DN54,,Bajoga Northeast Airport
